deleterious	harmful
brink	edge (at the top of a cliff); Ex. on the brink of the Grand Canyon
ingenuous	naive and trusting; young; unsophisticated; candid
pang	sudden sharp feeling of pain
discredit	defame; disgrace; destroy confidence in; disbelieve; N. CF. discreditable: causing discredit; shameful
renovate	restore to good condition; renew
sphinx-like	enigmatic; mysterious
solecism	nonstandard grammatical construction; construction that is flagrantly incorrect grammatically; violation of social etiquette
medium	element that is a creature's natural environment; nutrient setting in which microorganisms are cultivated; appropriate occupation or means of expression; channel of communication; compromise; middle position between extremes; intervening substan
foreshadow	give an indication beforehand; be a sign of (what is coming); portend; prefigure
ambience	environment; atmosphere; Ex. restraurant with a pleasant ambience; ADJ. ambient: completely surrounding; Ex. ambient temperature
repast	meal; feast; banquet
naivet\'e(naivety)	quality of being unsophisticated; simplicity; artlessness; gullibility; ADJ. naive(na\"ive): ingenuous; lacking worldliness; simple; credulous
depredation	plundering; destruction
braggadocio	boasting
atrophy	wasting away; V: weaken and lose flesh and muscle (through lack of blood or lack of use)
reek	emit (an unpleasant odor or smoke); give off an unpleasant odor; give out smoke; Ex. reeking chimney; N: unpleasant odor; stench
fitful	spasmodic; intermittent; irregular
aloft	upward; high up in the air
antiseptic	substance that prevents infection in a wound; ADJ.
tranquillity	calmness; peace
threat	sign or warning (of coming danger); Ex. threat of rain; V: express a threat; give warning of (something bad); Ex. The cloud threatens rain.
tangential	only slightly connected; not central; peripheral; digressing; showing divergence; CF. tangent
felicitous	(of a word or remark) apt; suitably expressed; well chosen
willowy	flexible; pliant; slender; CF. willow
wage	begin and continue (a war)
toga	Roman outer robe
rig	arrangement of masts and sails; V: equip (a ship) with rigging; ADJ. rigging: ropes that hold up a ship's sails
equity	fairness; justice; OP. inequity
determination	resolve; firmness of purpose; measurement or calculation; decision
blotch	spot; blot; CF. blot+botch
sage	person celebrated for wisdom; wise person; ADJ: wise
laceration	torn ragged wound; V. lacerate: tear (the skin as with broken glass); wound
verity	quality of being true; lasting truth or principle; Ex. the verity of his testimony; Ex. one of the eternal verities
wade	 walk through a substance, such as water, that impedes movement
superfluous	excessive; overabundant; unnecessary; N. superfluity
partial	incomplete; favoring one side over another; having a liking for something
brim	uppermost edge of a cup; projecting rim (as on a hat); Ex. The glass was full to the brim; V: be full to the brim
germ	earliest form of an organism; seed or bud; something that may develop into something larger or more important; microbe
perjury	false testimony while under oath; V. perjure oneself: testify falsely under oath
legend	explanatory list of symbols on a map
uncanny	strange; mysterious; Ex. uncanny knack
barterer	trader; V. barter: trade; exchange good for other goods rather than money
sluggard	lazy person
filing	particle removed by a file
entity	real being
confidant(confidante)	trusted friend (to whom one tells one's secret)
errant	wandering (esp. in search of adventure); straying from proper moral standards; Ex. knight-errant
provision	act of providing; something provided; preparatory measure; provisions: necessary supplies (esp. food); stipulation; condition in an agreement; Ex. According to the provisions of the agreement
inaugurate	begin formally; install in office; induct into office by a formal ceremony; N. inauguration; ADJ. inaugural
chortle	chuckle with delight; N.
unsavory	distasteful; disagreeable; morally offensive; Ex. unsavory activity/reputation
debutante	young woman making formal entrance into society
savory	pleasant in taste; tasty; pleasing, attractive, or agreeable; Ex. savory reputation
brunt	main impact or shock (of an attack or blow); Ex. brunt of the argument
hamper	obstruct; prevent the free movement of;
pulse	rhythmical throbbing of arteries; brief sudden change in a normally constant quantity; V: pulsate
severity	harshness; intensity; sternness; austerity; ADJ. severe: harsh; strict; extremely violent or intense
dislodge	remove (forcibly); force out of a position; Ex. dislodge the food caught in his throat; CF. lodge
pedagogy	teaching; art of education
rightful	legally correct; Ex. rightful owner
swagger	walk or behave with an over-confident manner
vigilante	one who without authority assumes law enforcement powers
engross	occupy fully; absorb
incorporeal	without a material body; insubstantial
abrasive	rubbing away; tending to grind down
heed	pay attention to; N: close attention
hieroglyphic	picture writing; ADJ.
cordial	warmly friendly; gracious; heartfelt; Ex. cordial welcome
bridle	harness fitted about a horse's head (used to restrain); curb; check; V: put a bridle on; control or restrain; show anger
claustrophobia	fear of being locked in
paradigm	model; example that serves as a model; pattern; list of all the inflectional forms of a word
beneficent	kindly; doing good
carousal	drunken revel; V. carouse
mar	spoil the appearance of
agglomeration	collection; heap; V. agglomerate: gather into a rounded mass; N. aggolmeate: jumbled mass; heap
anchor	secure or fasten firmly; be fixed in place; N. anchorage
truism	self-evident truth
frigid	intensely cold; cold in manner; Ex. frigid zone
flagrant	conspicuously wicked, bad, or offensive; blatant; outrageous
shackle	chain; fetter; confine with shackles; N.
enlist	(cause to) join the armed forces; obtain (help, sympathy, or support)
confidence	self-assurance; calm unworried feeling based on a strong belief in one's abilities; strong belief in the ability of a person or plan; trust or faith in a person or thing; something confided; secret; Ex. confidence in your ability; Ex. I'm telling yo
gloss	brief explanation note or translation of a difficult expression; V.
scanty	meager; insufficient
voyeur	Peeping Tom; person who derives sexual gratification from observing the sexual acts of others
liaison	contact that keeps parties in communication; communication between groups; one that maintains communication; go-between; secret love affair; V. liaise: keep a connection
agnostic	one who is skeptical of the existence or knowability of a god or any ultimate reality
slight	insult to one's dignity; snub; V: treat as if of small importance; insult; snub; ADJ. small in size; of small importance
contingent	dependent on something uncertain or in the future; conditional; happening by chance; accidental; N: a group of soldiers, ships to a larger force; CF. contingency: future event that may or may not occur; possibility; Ex. prepare for every contingency
bulge	protruding part; swelling of a surface; Ex. The apple made a bulge in his pocket; V: swell outward; protrude
reticent	inclined to silence; uncommunicative; reserved; Ex. He was reticent about the reasons; N. reticence
parallel	similar; analogous; corresponding; N: parallel line; person or thing that is parallel (to another); similarity; Ex. know of no parallel to the case; Ex. without parallel; V: be similar to; make parallel; Ex. Your experience parallels mine; CF. unp
pacifist	one opposed to force; antimilitarist; ADJ. N. pacifism: opposition to war as a means of resolving disputes
adherent	supporter; follower
sect	separate religious body; faction; group of people with common beliefs within a larger group
peer	one who has equal standing with another; nobleman; V: look intently; N. peerage; CF. peeress
suborn	persuade to act unlawfully (especially to commit perjury); N. subornation
pallet	small poor bed; Ex. straw pallet
vigor	active strength; energy; enthusiasm; ADJ. vigorous
miserly	stingy; mean
carping	petty criticism; fault-finding; fretful complaining; quibble
resonant	(of a sound) echoing; resounding(sounding loudly); deep and full in sound; producing resonance; Ex. resonant voice; N. resonance
idle	not working; not employed or busy; lazy; without purpose; useless; lacking substance; baseless; not based on truth; Ex. idle worker; Ex. talk idly; V.
circuit	closed circular line around an area; circumference; regularly repeated journey from place to place
amicable	peaceful; politely friendly; not quarrelsome; Ex. amicable settlement
soar	rise or fly high in the air; Ex. The rocket soared into the sky.
furor	frenzy; great anger and excitement; CF. fury
knit	contract into wrinkles; grow together; join together closely; make (a fabric or garment) by interwining yarn or thread; Ex. knit the brow; Ex. The bones should knit together in a few weeks.
institutionalize	make into an institution; put or confine in an institution
spectrum	colored band produced when a beam of light passes through a prism; broad and continuous range; Ex. whole spectrum of modern thoughts
hoard	stockpile; accumulate for future use; N: supply stored for future use
vernal	pertaining to spring
delude	deceive
autocratic	having absolute unchecked power; dictatorial; N. autocrat, autocracy
bereaved	deprived of (someone beloved through death)
moratorium	legal delay of payment or action; Ex. declare moratorium on the building of new houses
rampant	growing or spreading uncontrollably; growing in profusion; unrestrained; Ex. rampant lawlessness/weed
warren	tunnels in which rabbits live; overcrowded living area; crowded conditions in which people live
hull	husk; dry outer covering of a seed; frame or body of a ship
adroit	skillful (in using mind or hand)
convulsion	violent uncontrollable shaking movement (caused by illness); V. convulse; ADJ. convulsive
introspective	looking within oneself; N. introspection: self-examination
disdain	treat with scorn or contempt
pathos	tender sorrow; pity; quality in art or literature that produces these feelings; Ex. pathos that runs through the novel
venison	meat of a deer; CF. cow: beef; CF. pig: pork, ham, bacon; CF. calf: veal; CF. sheep: mutton; CF. lamb: lamb
flighty	(esp. of a woman's behavior) capricious; often changing, esp. from one lover to another; impulsive
overthrow	topple; N.
equestrian	rider on horseback; ADJ.
sterile	incapable of producing young; free from microorganism; V. sterilize
galleon	large three-masted sailing ship
gross	total; fragrant; clearly wrong; (of people's behavior) coarse; corpulent; Ex. gross insolence/behavior; V: earn as a total amount; N: 12 dozens
defiance	refusal to yield; resistance; V. defy; ADJ. defiant
trek	travel; journey; V: make a long difficult journey
jurisprudence	science of law
upbraid	reprimand; severely scold
amnesia	loss of memory
astronomical	enormously large or extensive
aureole	sun's corona; halo; bright circle of light
latent	present but not yet noticeable or active; dormant; hidden; N. latency; CF. potential
prophetic	of a prophet or prophecy; having to do with predicting the future; N. prophecy; V. prophesy; N. prophet
indenture	bind as servant or apprentice to master; bind by indenture; N: contract binding one party into the service of another for a specified time (as between an apprentice and his master)
frieze	ornamental horizontal band on a wall
rebuttal	refutation; response with contrary evidence; V. rebut: refute; disprove
disinterested	unprejudiced; free from bias and self-interest; objective
cleave	split or sever; cling to; remain faithful to; N. cleavage; ADJ. cloven
rooster	cock; adult male chicken
nectar	drink of the gods; sweet liquid collected by bees
veracity	truthfulness; adherence to the truth
spoilsport	one who spoils the pleasure of others
militant	combative; bellicose; N.
accelerate	move faster
vixen	female fox; ill-tempered woman; CF. shrew
psyche	soul; mind
anonymity	state of being nameless; anonymousness; ADJ. anonymous
herbivorous	grain-eating; CF. herbivore
acknowledge	recognize; admit
wisp	small bunch (of hair); faint streak (of smoke)
niggardly	meanly stingy; parsimonious; N. niggard: stingy person
valediction	saying farewell; expression of leave-taking
Shangri-la	imaginary remote paradise on earth; CF. Lost Horizon
engage	attract; employ; hire; pledge oneself; confront; fight; enter into confliction; interlock; lock together; participate; N. engagement: agreement to marry; arrangement to meet someone or to do something; battle
retinue	following; attendants
partiality	state of being partial; inclination; favorable bias; special fondness; preference
trident	three-pronged spear
hoax	trick which makes someone take action; practical joke; Ex. hoax mail; V.
start	move suddenly or involuntarily; Ex. start at the sight of a snake
contrive	invent or fabricate in a clever way (by improvisation); manage; Ex. contrive to attract his attention
tureen	deep dish for serving soup
lode	metal-bearing vein(long deposit of an ore)
pulmonary	pertaining to the lungs
continence	self-restraint; sexual chastity; sexual abstinence; voluntary control over bladder and bowel functions; ADJ. continent
query	inquiry; question; V.
enthrall	capture; enslave; captivate; hold the complete attention of (as if magic); hold spellbound
fallacious	false; based on a fallacy; misleading; N. fallacy: false idea or notion; false reasoning; Ex. popular fallacy; Ex. fallacy of the argument
accrue	come to one as a gain; accumulate over time; come about by addition; Ex. benefits that accrue from scientific research; Ex. interest accruing in a bank account; N. accrual
spatial	relating to space
dote	be excessively fond of; show signs of mental decline
suckle	give or take milk at the breast or udder
impassioned	(of speech) filled with passion; fervent
rationalize	make rational; devise false reasons for (one's behavior); offer an excuse; give a plausible reason for an action in place of a true, less admirable ones; N. rationalization
prosody	art of versification; study of the metrical structure of verse
umbrage	resentment; anger; sense of injury or insult; Ex. take umbrage at his rudeness
gust	strong abrupt rush of wind; V. CF. bluster
serendipity	gift for finding valuable things by accident; accidental good fortune or luck; CF. The Three Princes of Serendip
influx	flowing into
nuptial	related to marriage or the wedding ceremony; N. nuptials: wedding ceremony
bountiful	generous; graciously generous; showing bounty
chastise	punish as by beating; criticize severely
bombardment	attack (as with missiles or bombs); V. bombard
relevant	having importance; pertinent; referring to the case in hand; N. relevance, relevancy
uproarious	marked by commotion or uproar; very noisy (esp. with laughter); hilarious; causing loud laughter; extremely funny
incite	arouse to action; goad; motivate; induce to exist; Ex. incite a riot/the crowd to rebellion
indomitable	unconquerable; unyielding
metamorphosis	change of form; Ex. metamorphosis of caterpillar to butterfly; V. metamorphose: change by metamorphosis
destitute	extremely poor; lacking means of subsistence; utterly lacking; devoid; Ex. destitute of any experience
generality	vague statement; general statement which is not detailed; quality of being general; greater part; most; Ex. generality of people
glossary	brief explanation of words used in the text
fester	rankle; produce irritation or resentment; (of a cut or wound) generate pus or rot; Ex. His insult festered in my mind for days.
sinuous	twisting; winding; bending in and out; not morally honest
eschew	avoid habitually; Ex. eschew alcoholic drinks
perfidious	treacherous; disloyal; N. perfidy: treachery
rendition	rendering; translation; artistic interpretation of a song, etc
murmur	low, indistinct, continuous sound; V. CF. mumble
robust	strong; vigorous
whinny	neigh like a horse; CF. neigh: make the sound which horses make
indigent	poor; destitute
tundra	rolling treeless plain in Siberia and arctic North America
improvise	compose on the spur of the moment
vent	release or discharge through a vent; express (esp. unfairly); utter; Ex. He vented his wrath on his family.
shun	keep away from; avoid deliberately; Ex. She has been shunned by her neighbors.
rummage	ransack; thoroughly search
fluency	smoothness of speech; ADJ. fluent
refrain	abstain from; resist; forbear; N: chorus
preamble	introductory statement
divest	strip (as of clothes); deprive (as of rights); dispossess; N. divestiture(divestment)
prevaricate	lie; hide the truth (by equivocating)
trite	hackneyed; commonplace
wean	accustom a baby not to nurse; accustom (the young of a mammal) to take nourishment other than by suckling; give up a cherished activity; cause to gradually leave (an interest or habit); Ex. wean oneself from cigarettes
epaulet(epaulette)	ornament worn on the shoulder (of a uniform, etc.)
wan	having a pale or sickly color; pallid
curb	chain or strap used with a bit to restrain a horse; something that checks; V: check; restrain
primal	first in rank or importance; being first in time; original; Ex. man's primal innocence
privation	lack of the basic necessities or comforts of life; hardship; want; CF. deprive
whet	sharpen; stimulate; Ex. whet someone's appetite
reserve	self-control; self-restraint; formal but distant manner; reticence; Ex. without reserve: freely and openly; ADJ. reserved: shy and uncommunicative
lavish	liberal; wasteful; generous or wasteful in giving or using; abundant; profuse; great; Ex. decorated lavishly; V. give in abundance
airy	of air; high in the air; lofty; immaterial; unreal
obligatory	binding; required; compulsory; V. oblige: constrain; make grateful; do a favor; accommodate
malicious	hateful; spiteful; expressing malice; N. malice: desire to harm others; spite
hapless	unfortunate; luckless
brackish	somewhat saline
diversion	act of turning aside; pastime; V. divert: turn aside from a course; distract; amuse
fetter	shackle; restrict the freedom of; N. chain or shackle for the foot of a prisoner; CF. foot
gait	manner of walking or running; speed
verve	enthusiasm (as in artistic performance or composition); liveliness; vigor
homely	not good-looking; unattractive
tipple	drink (alcoholic beverages) frequently; N: alcoholic drink
adjutant	staff officer assisting the commander; assistant
subservient	behaving like a slave; servile; obsequious; subordinate; N. subservience
intrigue	make secret plans; plot; arouse the curiosity of; N: secret scheme; plot; secret love affair
generic	characteristic of an entire class or species; of a genus
assumption	something taken for granted; the taking over or taking possession of; Ex. her assumption of power; V. assume
potable	suitable for drinking; drinkable
bog	soft wet land; V: hinder or be hindered; Ex. bogged down in the mud
anodyne	drug that relieves pain or trouble;opiate; ADJ. Ex. anodyne statement
truncate	cut the top off; shorten
outlook	point of view; view from a particular place; expectation for the future; prospect; Ex. outlook on life; Ex. pleasing outlook; Ex. weather outlook
annotate	comment; make explanatory notes
pandemic	widespread; affecting the majority of people; N: pandemic disease; CF. all people
excoriate	scold with biting harshness; censure strongly; strip the skin off
blush	become red in the face (from embarrassment or shame); become red or rosy; N.
deport	send out of the country; behave; N. deportation, deportment
jaundiced	yellowed; prejudiced (envious, hostile, or resentful) from long and disappointing experience of human affairs; Ex. with a jaundiced eye
macerate	soften by soaking in liquid; waste away; Ex. macerate powdered wood to make paper
raconteur	story-teller; one who tells stories with wit and skill
victuals	food; provisions; V. victual: provide with food
undermine	weaken gradually; sap; dig a mine beneath
salubrious	healthful; conducive to health or well-being; socially desirable; Ex. salubrious area; CF. health
patois	local or provincial dialect
camaraderie	good-fellowship; CF. comrade
modish	fashionable; conforming to the current fashion
refectory	dining hall; room where meals are served (in a school)
galley	low ship with sails (rowed along by slaves)
mortician	undertaker; CF. death
acrophobia	fear of heights
grumble	complain; mutter discontentedly; grouch; N.
medley	mixture
irremediable	incurable; uncorrectable; impossible to remedy
stoic	stoical; impassive; unmoved by joy or grief; N. CF. stoicism
volatile	changeable; of a quickly changing nature (as of temper); mercurial; tending to violence; evaporating rapidly; Ex. volatile character/situation in the street
hatch	deck opening; lid covering a deck opening; V: emerge from an egg; produce (young) from an egg
denizen	(animal, person, or plant) inhabitant or resident of a particular place; regular visitor
collected	composed; calm; self-possessed
supernumerary	person or thing excess of what is necessary; extra; ADJ: additional to the usual or necessary number
velocity	speed
tautological	needlessly repetitious; Ex. ``It was visible to the eye''; N. tautology: needless repetition of the same sense; statement that is always true
sylvan	pertaining to the woods or the country
hypocritical	pretending to be virtuous; deceiving; N. hypocrisy: profession of beliefs one does not possess; CF. hypocrite
rapt	engrossed; absorbed; enchanted; Ex. rapt listener
disavowal	denial; disclaiming; repudiating; disowning; V. disavow; CF. disclaim
gangrene	decay of body tissue caused by insufficient blood supply (usually following injury); ADJ. gangrenous
flit	fly; fly or move lightly or quickly; dart lightly; pass swiftly by; Ex. a bee flitting from flower to flower
genealogy	record of descent; lineage; ancestry; study of ancestry
enact	make (a bill) into law
indentation	notch; deep recess; V. indent; CF. tooth
prolixity	tedious wordiness; verbosity; ADJ. prolix: wordy; verbose; diffuse
potion	dose (of liquids); liquid dose
effluvium	noxious(harmful) smell
conversant	familiar with; having knowledge of
bluster	blow in heavy gusts; threaten emptily; bully; speak in a noisy or bullying manner; CF. breeze, gust, gale
misdemeanor	minor crime; misdeed; wrongdoing
incubus	burden; very worriying problem; mental care; nightmare; male devil; CF. succubus
pretext	excuse
solder	repair or make whole by using a metal alloy; N: metal alloy (usually tin and lead) used in the molten state to join metallic parts
invalid	one incapacitated(disabled) by a chronic illness; ADJ: incapacitated by illness; not valid; null; V: allow to leave (a military force) because of ill-health
chuckle	laugh quietly
therapeutic	curative; N. therapy
cumbersome	heavy and awkward to carry or wear; burdensome; Ex. cumbersome parcel/uniform
trickster	person who cheats people
incubate	hatch; warm (eggs) with the body to promote hatching; maintain at optimal environment conditions for development; be holding in one's body an infection which is going to develop into a disease; N. incubation; CF. incubation:disease
permeable	that can be permeated; penetrable; porous; allowing liquids or gas to pass through; V. permeate: spread or flow throughout; charge
fete(f\^ete)	honor at a festival; celebrate or honor with a feast; N. (outdoor) festival or feast; CF. feast
cohorts	group of people who share some common quality; armed band; a group of between 300 and 600 soldiers under one commander (in the ancient Rome)
adhere	stick fast; be a devotd follower; N. adhesion: adhering; devotion; loyality
rubble	fragments (esp. from a destroyed building)
concatenate	link as in a chain
tablet	 small round piece of medicine; flat piece of stone or metal bearing an inscription; Ex. stone tablet on the wall
libel	defamatory written statement; act of writing something that smears a person's character; V. ADJ. libelous
premonition	forewarning; presentiment; foreboding
ecliptic	path of the sun and the planets
sinister	evil; ominous
surge	powerful movement of or like a wave; V.
penchant	strong inclination; strong liking (esp. for something that is disapproved of by other people); Ex. penchant for fast cars
integral	complete; necessary for completeness; Ex. integral part
conundrum	riddle; difficult problem
stately	formal; ceremonious; grand in style or size; majestic
mock	ridicule; deride; imitate often in derision
pretend	feign; pretend to: claim to possess; make pretensions to; Ex. I don't pretend to much expertise; N. pretense
integrate	make whole; combine; make into one unit
minute	extremely small; CF. minutes: official record of the proceedings at a meeting
amalgamate	(of societies or groups) combine; unite in one body
homily	sermon; tedious moralizing lecture; serious warning; ADJ. homiletic
imposture	assuming a false identity; masquerade; CF. impostor
dart	move or throw suddenly and quickly
subaltern	subordinate
rasp	(of a sound) grate on (eg. nerves); make a harsh noise; have an unpleasant effect; rub with something rough; Ex. The cat's tongue rasped my hand.
pry	inquire impertinently (someone else's private affairs); use leverage to raise or open something; prize; N. pries: tool for prying
discord	conflict; lack of harmony; dissonance (when musical notes are played)
crevice	crack; fissure
aghast	filled with great surprise or fear; horrified
imperious	domineering; too commanding; haughty; CF. imperial/emperor
melancholy	gloomy; morose; blue; N. ADJ. melancholic; CF. melancholia
executor	person designated to execute the terms of a will;
schism	division into factions (esp. within a religious body); split
run-down	(of a place) dilapidated; in a bad condition; (of a person) weak or exhausted
trinket	knickknack; bauble; cheap jewelry
sustenance	sustaining; means of livelihood, support, food, nourishment; something that maintains life; food
hut	crude dwelling; shack
imbue	saturate(soak thoroughly); fill; Ex. imbue someone with feelings
surrogate	substitute; person or thing used in place of another; Ex. surrogate mother; ADJ.
belabor	harp on; dwell on tediously; explain or go over excessively or to a ridiculous degree; assail verbally; beat severely; attack physically
unbridled	violent; uncontrolled; Ex. unbridled rage/greed
flux	flowing; series of changes; fluctuation; Ex. in a state of flux
hostage	person who is kept as a prisoner by an enemy so that the other side will do what the enemy demands
staid	serious and sedate; sober; Ex. staid during the funeral ceremony
glut	overstock; fill beyond capacity (with food); fill to excess; N: oversupply
cerebration	thought; working of the brain
rustic	pertaining to country people; unsophisticated; simple; crude; uncouth; (of furniture) rough with the bark left on; N. rural person; rustic person
hardy	(of people or animals) sturdy; robust; (of plants) able to stand inclement(stormy) weather
genesis	beginning; origin
replicate	reproduce; duplicate
prone	inclined to; likely to (suffer); prostrate; lying with the front downward; Ex. prone to disease/make mistakes; Ex. accident-prone
voluble	fluent; talkative; glib; N. volubility
sardonic	scornfully mocking; disdainful; sarcastic; cynical; Ex. sardonic smile
finesse	delicate skill; V: handle with finesse
artless	without guile; open and honest
indisputable	too certain to be disputed; beyond doubt
cede	yield (title or territory) to (esp. after losing a war); surrender formally; N. cession
engaged	employed; busy; betrothed; involved in conflict
nebula	diffuse mass of interstellar dust or gas; galaxy
depravity	extreme corruption; wickedness; V. deprave
peon	landless agricultural worker; bond servant; menial worker; N. peonage
turncoat	traitor
incontrovertible	indisputable; impossible to dispute; not open to question; unquestionable
ejaculation	exclamation; abrupt ejection (to discharge sperm); V. ejaculate
delineate	portray; depict; sketch; describe; N. delineation
outgoing	sociable; eager to mix socially with others
allocate	assign; set apart for a particular purpose
transcendental	going beyond common thought or ideas; impossible to understand by practical experiences or practices; known only by studying thoughts or intuition; OP. empirical; CF. transcendentalism
cacophonous	discordant; inharmonious; N. cacophony: unpleasant mixture of loud sounds
audacious	daring; bold; N. audacity
chant	tune(melody) in which a number of words are sung on the same note; V: sing (a chant); utter (a slogan) in the manner of a chant
loft	room or space under the roof; attic
listless	lacking in spirit or energy; languid
ragamuffin	dirty child in torn clothes; person wearing tattered clothes
compartment	one of the parts into which an enclosed space is divided
shrew	scolding woman; very small mouselike animal
seasoned	experienced
regale	entertain
scurry	move hastily; hurry; move briskly
trample	step heavily with the feet; crush under the feet
callous	hardened; unfeeling; without sympathy for the sufferings of others; unkind
affected	artificial; pretended
oculist	physician who specializes in treatment of the eyes
ingratiate	become popular with; bring (oneself) in favor of another; Ex. ingratiate himself with the boss
riveting	holding one's attention; absorbing; engrossing
imponderable	weightless; that cannot undergo precise evaluation; CF. pound
founder	person who establishes (an organization or business)
inestimable	impossible to estimate; (apprec) invaluable; of immeasurable worth
berate	scold strongly
impediment	hindrance; stumbling-block; speech defect preventing clear articulation; Ex. speech impediment
auxiliary	offering or providing help; additional or subsidiary; N: helper; assistant
exorbitant	(of costs or demands) excessive; exceeding reasonable bounds
hydrophobia	fear of water; rabies
inscrutable	difficult to understand; impenetrable; not readily understood; mysterious
insensate	without feeling; lacking sense; foolish
gaffe	social blunder
illimitable	infinite; limitless
sovereignty	complete independence and self-government (of a country); supremacy of authority; power to govern
gnome	dwarf; underground spirit who guards treasure hoards
obsequious	slavishly attentive; servile; full of servile compliance; sycophantic
moribund	dying; at the point of death; CF. death
vortex	whirlwind; whirlpool; center of turbulence; predicament into which one is inexorably plunged
beguile	deceive; mislead or delude; cheat; pass time pleasantly; charm or attract; Ex. beguiling smile
cynical	skeptical or distrustful of human motives; N. cynicism; CF. cynic: person who believes all people are motivated by selfishness
odious	arousing strong dislike; hateful(causing hatred); vile
Occident	the West
rectify	set right; correct; CF. rect-: right
erotic	pertaining to passionate love or sexual love
fervor	glowing ardor; intensity of feeling; quality of being fervent or fervid; zeal; intense heat
volition	act of using one's will; act of making a conscious choice; Ex. She selected this dress of her own volition.
lubricate	apply a lubricant to; N. lubricant: substance that reduces friction
wrest	obtain by pulling violently; pull away; take by violence; Ex. wrest victory from their grasp
panoramic	denoting an unobstructed and comprehensive view; N. panorama: unbroken view of a wide area
dearth	scarcity
supposition	assumption; hypothesis; surmise; V. suppose
concession	an act of yielding; conceding; something conceded; point, right, etc. given unwillingly; privilege of maintaining a business in a certain place; Ex. oil concessions in the North sea; CF. concessionaire
tantamount	equivalent in effect or value; Ex. This invasion is tantamount to a declaration of war; CF. amount
quirk	sudden sharp turn or twist; startling twist; caprice; idiosyncrasy; peculiarity of behavior; Ex. by a quirk of fate
indoctrinate	cause to accept a doctrine without questioning it; Ex. indoctrinated with mindless anti-communism
delta	flat plain of mud or sand between branches of a river
refuse	anything discarded or rejected as worthless; trash
reprove	censure; rebuke; N. reproof
gall	annoy; exasperate; chafe; N: skin sore caused by rubbing (as on the skin of a horse); exasperation
hypnosis	induced sleeping state; ADJ. hypnotic; V. hypnotize
facilitate	help bring about; make less difficult
elucidate	explain; make clear; clarify; enlighten; CF. lucid
malefactor	evildoer; criminal
militate	work against; Ex. militate against the chances of promotion; CF. serve as a soldier
exacerbate	worsen; aggravate; embitter
fatalism	belief that events are determined by forces or fates beyond one's control; ADJ. fatalistic; CF. fatal: causing death
usage	act or manner of using; accepted practice; way in which words are actually used
jostle	shove; bump; push against (someone) rather roughly; Ex. jostled by the crowds
zest	outer skin of an orange used for giving a special taste to food; spice; interest; flavor; spirited enjoyment; Ex. add a certain zest to the affair; Ex. zest for life
bifurcated	divided into two branches; forked
sallow	(of the skin) yellowish and unhealthy-looking; sickly in color; Ex. sallow complexion due to jaundice
gibberish	nonsense; nonsensical or unintelligible talk or writing; babbling
obstinate	stubborn; hard to control or treat; Ex. obstinate cough; N. obstinacy
infamous	notoriously bad; notorious; well known for being bad; Ex. infamous behavior; N: infamy: infamous act; evil fame or reputation
anecdote	short story of an amusing or interesting event
impervious	impenetrable; incapable of being damaged or distressed; incapable of being affected (in one's opinions); Ex. impervious to water/criticism
roil	make liquids murky by stirring up sediment; disturb
peroration	conclusion of an oration; perorating; V. perorate: conclude a speech; speak at great length
chasten	discipline; punish in order to correct; CF. castigate
libertine	debauched person; dissolute or licentious person; rou\'e; CF. free
smattering	slight knowledge; small scattered number or amount; Ex. smattering of German
testator	maker of a will; CF. testatrix
lout	clumsy person; ADJ. loutish; CF. from countrysides ?
enrapture	please intensely; fill with rapture and delight
brawny	muscular; having well-developed muscles
dint	means; effort; Ex. by dint of hard work
illusory	illusive; deceptive; not real
conjure	cause to appear by magic; summon (a devil or a spirit) by magical power; practice magic (esp. by very quick movement of the hands); evoke; conjure up: bring into the mind; Ex. The magician conjured a rabbit out of his hat.
nutrition	process of nourishing or being nourished; CF. malnutrition
rotund	(of a person) fat and round
feral	(of an animal) not domestic; wild
puzzle	baffle or confuse by a difficult problem; ponder over a problem in an effort to solve; clarify or solve by reasoning; Ex. puzzle out the answer; N.
dull	(of colors or surfaces) not bright; cloudy; overcast; boring; (of edge or sound) not sharp; not rapid; sluggish; slow in thinking and understanding; stupid; V.
wretch	miserable person; bad or despicable person; ADJ. wretched: miserable; bad; contemptible; vile
ascribe	refer; attribute; assign
analogy	similarity; parallelism; comparing two similar things
draconian	extremely severe; Ex. draconian punishment; CF. Draco: Athenian politician
ramp	slope; inclined plane or roadway (connecting two levels)
audit	examination of accounts of a business; official examination; V.
impassive	without feeling; expressionless; imperturbable; stoical; Ex. impassive face
florid	ruddy; (of a complexion) reddish; flowery; very ornate; CF. rose
cornucopia	horn (or horn-shaped container) overflowing with fruit and grain; symbol of abundance; horn of plenty
unobtrusive	inconspicuous; not blatant
repartee	quick clever reply
homeostasis	tendency of a system or organism to maintain relative stability or internal equilibrium; CF. homeo-: constant; Ex. homeotherm
reiterate	repeat
graphic	pertaining to the art of delineating; vividly described
well-bred	of good upbringing; well-mannered and refined
legacy	gift made by a will; something handed down from an ancestor
wrath	anger; fury
molten	melted; Ex. molten lava
opulence	extreme wealth; luxuriousness; abundance; ADJ. opulent: possessing great wealth; abundant
denomination	religious group; unit in a system; name or designation; CF. denominator: common trait or characteristic
stealth	action of moving secretly or unseen; slyness; sneakiness; secretiveness; ADJ. stealthy
